Mouse Necropsy information sheet,...2
Initials,BP
Today's Date,42886
Mouse ID,15170
Disposition,lethargic
Sex,M
Strain,N-TVA; pten f/f; Ink4a f/f
BD,42852
Sac Date,42886
Age at Sac,34
RCAS injection?,Yes
Injection route,intercranial
Injection Date,42814
Virus 1,IDH1WT
Virus 2,PDGFA
Virus 3,RCAS-Cre
Virus 4,
Evidence of tumor?,yes
Date Tumor reported,42870
Dox Tx?,
Duration of Dox Tx,NA
Genotype,Nestin-TVA;pten f/f;Ink4a f/f (injected)
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Mild hydrocephaly with enlarged cortex
