Mouse Necropsy information sheet,...2,...3,...4
Initials,KC,,
Today's Date,44606,,
Mouse ID,29057-01,,
Disposition,"Major head tilt, could barely walk, very skinny",,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Male,`,
Strain,All Alleles + Cas9f/f,,
BD,44570,,
Sac Date,44606,,
Age at Sac,36,,
Injection Date,44483,,
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1 (1/13/22 RE),,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,"N, but tumor was found upon necropsy",,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,All Alleles + Cas9f/f,,
Tissue collected,"Brain, Lungs, Liver, T1",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, Lungs, Liver, T1",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,Yes,,
Additional comments,"intracranial tumor, under right hemisphere, sacked for lethargy, head tilt, and weight loss, large lung nodule noticed, skull was frail and tumor was not hard so it was removed in small pieces",,
