Mouse Necropsy information sheet,...2,...3,...4,...5,...6,...7,...8,...9,...10
Initials,KC,,,,,,,,
Today's Date,44993,,,,,,,,
Mouse ID,32735-10,,,,,,,,
Disposition,"Tumor on back of neck and top of head, not opening left eye",,,,,,,,
Sex,Male,,,,,,,,
Strain,DCT-TVA::Brafca/ca;Pik3caTg/Tg;TDT+/+;Tyr+/+,,,,,,,,
BD,44890,,,,,,,,
Sac Date,44993,,,,,,,,
Age at Sac,103,,,,,,,,
RCAS injection?,No,,,,,,,,
Injection route,,,,,,,,,
Injection Date,,,,,,,,,
Virus 1,,,,,,,,,
Virus 2,,,,,,,,,
Virus 3,,,,,,,,,
Virus 4,,,,,,,,,
Evidence of tumor?,Yes,,,,,,,,
Date Tumor reported,44958,,,,,,,,
Dox Tx?,No,,,,,,,,
Duration of Dox Tx,,,,,,,,,
Genotype,DCT-TVA::Brafca/ca;Pik3caTg/Tg;TDT+/+;Tyr+/+,,,,,,,,
Tissue collected,,,,,,,,,
Zinc fixed ?,,,,,,,,,
Formalin fixed?,Yes,,,,,,,,
Parafin Block #'s,,,,,,,,,
,,,,,,,,,
Slide #'s,,,,,,,,,
H&E?,,,,,,,,,
IHC?,,,,,,,,,
IHC stain 1,,,,,,,,,
IHC stain 2,,,,,,,,,
IHC stain 3,,,,,,,,,
Additional comments,"Tumor was growing from back of neck up to eye, it did not penetrate the skull. Brain, lungs, and liver appeared normal",,,,,,,,
