Mouse Necropsy information sheet,...2
Initials,SH
Today's Date,42633
Mouse ID,11878-00
Disposition,Died while imaging for MRI
Sex,M
Strain,N-TVA; Atrx flox/+; Ink flox/flox; Pten flox/flox
BD,42608
Sac Date,42633
Age at Sac,4 weeks
RCAS injection?,Yes
Injection route,Intercranial
Injection Date,42610
Virus 1,LV:NF1 & RCAS-Cre
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,
Date Tumor reported,42627
Dox Tx?,
Duration of Dox Tx,
Genotype,
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Severe hydrocephalus as well as under developed cortex
