Mouse Necropsy information sheet,...2,...3,...4
Initials,KT,,
Today's Date,42503,,
Mouse ID,10048,,
Disposition,"T1-right shoulder; T2-left side, small; normal deposition",,
Sex,Male,,
Strain,All Alleles,,
BD,42466,,
Sac Date,42501,,
Age at Sac,35,,
RCAN injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42457,,
Virus 1,RCAN HA-Akt1 E17K,,
Virus 2,Tet-Off-IRES-Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes (1),,
Date Tumor reported,,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; Braf ca; ink/arf f/f; pten f/f,,
Tissue collected,"Brain, heart, lungs, kidney, spleen, liver, tumor",,
,,,
Formalin fixed?,yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,T1-right shoulder; T2-left side; normal deposition,,
,Tumor may have been larger enough to infiltrate the chest cavity; found weird growth attached to heart/lung complex,,
,"All organs appeared normal, except heart and lungs",,
,"T1-3 cyros, 3 cell lines attempted; T2-1 cell line attempted, no cryos",,
