Mouse Necropsy information sheet,...2,...3,...4
Initials,SS,,
Today's Date,42664,,
Mouse ID,12119,,
Disposition,Lethargic disposition with labored breathing. No tumor present.,,
Sex,Male,,
Strain,Ink WT,,
BD,42628,,
Sac Date,42648,,
Age at Sac,20,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42619,,
Virus 1,RCAS Cre,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,No,,
Date Tumor reported,NA,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; Braf; Ink wt,,
Tissue collected,"Brain, lungs, heart, liver, kidneys, spleen, ear",,
,,,
Formalin fixed?,Yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,Had thick dark spots on ears.,,
,All organs appeared healthy-- heart was slightly larger than typical for a mouse his size.,,
,Reason for sickness unknown.,,
