Mouse Necropsy information sheet,...2,...3,...4
Initials,CS/TT,,
Today's Date,44337,,
Mouse ID,26373-00,,
Disposition,Enlarged spleen,,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Female,`,
Strain,DCT-TVA::Brafca/ca;Tyr/+,,
BD,44256,,
Sac Date,44337,,
Age at Sac,81,,
Injection Date,44248,,
Virus 1,RCAS myr-HA-AKT1 + RCAS Cre,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,,,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,DCT-TVA::Brafca/ca;Tyr/+,,
Tissue collected,"Brain, Lungs",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, Lungs",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,Yes,,
Additional comments,Generally unwell,,
