Mouse Necropsy information sheet,...2,...3,...4
Initials,SS,,
Today's Date,42835,,
Mouse ID,14050,,
Disposition,"Appeared active in cage, tumor on right shoulder.",,
Sex,Female,,
Strain,Braf wt,,
BD,42769,,
Sac Date,42835,,
Age at Sac,66,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42770,,
Virus 1,RCAS HA-Nras Q61R ires Cre,,
Virus 2,RCAS myrFLAG AKT1,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes,,
Date Tumor reported,42821,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; ink/arf f/f; pten f/f,,
Tissue collected,"Brain, lungs, heart, liver, kidneys, spleen, tumor",,
,,,
Formalin fixed?,Yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,Tumor was slightly fluid filled.,,
,H&L appeared healthy.,,
,Cell line attempted,,
,2 cryovials frozen,,
