Mouse Necropsy information sheet,...2
Initials,DY
Today's Date,42905
Mouse ID,14712
Disposition,Found dead
Sex,Female
Strain,N-TVA; Ink4a f/f; Pten f/f
BD,42816
Sac Date,42900
Age at Sac,84
RCAS injection?,Yes
Injection route,intracranial
Injection Date,42819
Virus 1,TRE3-BRAF
Virus 2,TetOff
Virus 3,Cre
Virus 4,
Evidence of tumor?,"Yes, MRI showing tumor 4/18/2017"
Date Tumor reported,
Dox Tx?,No
Duration of Dox Tx,
Genotype,N-TVA Tg/+; ink/arf f/f; pten f/f;
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,brain tissue somewhat degraded
