Mouse Necropsy information sheet,...2,...3,...4
Initials,AW,,
Today's Date,42781,,
Mouse ID,12655,,
Disposition,normal,,
Sex,female,,
Strain,Nestin-TVA; ATRX flox/flox; Ink4a f/f; Pten f/f,,
BD,42667,,
Sac Date,42781,,
Age at Sac,114,,
RCAS injection?,Yes,,
Injection route,intercranial,,
Injection Date,42669,,
Virus 1,LV:NF1,,
Virus 2,RCAS Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,no,,
Date Tumor reported,,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,Nestin-TVA; ATRX flox/flox; Ink4a f/f; Pten f/f,,
Tissue collected,brain,,
,,,
Formalin fixed?,yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,endpoint,,
,,,
