Mouse Necropsy information sheet,...2,...3,...4
Initials,ND,,
Today's Date,43010,,
Mouse ID,16155,,
Disposition,"Sac'd due to tumor size. T1 left side and T2 left front leg. T1 and T2 were switched during necropsy due to labeling of cryos, cell lines, and formal/ Zincoxide tubes.",,
Sex,male,,
Strain,All Alleles,,
BD,42930,,
Sac Date,43010,,
Age at Sac,80,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42930,,
Virus 1,RCAN myr-HA-Akt1,,
Virus 2,RCAS Tet-Off-IRES-Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes (2),,
Date Tumor reported,42992,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; Braf ca; ink/arf f/f; pten f/f,,
Tissue collected,"Tumors, brain, lungs",,
Zinc fixed?,"Brain, lungs",,
Formalin fixed?,Tumors,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,N/A,,
Additional comments,"Sac'd due to tumor size. T1 left side and T2 left front leg. T1 and T2 were switched during necropsy due to labeling of cryos, cell lines, and formal/ Zincoxide tubes.",,
,Brain and skull were in tact.,,
,organs appeared normal,,
,T1-  3 cryos and 1 cell line; T2 - 1 cryos and 1 cell line,,
