Mouse Necropsy information sheet,...2
Initials,RH
Today's Date,43808
Mouse ID,21807
Disposition,"Clearly had tumor based on initial MRI, died after injection with Mn2C."
Sex,Male
Strain,NTVA; p10 f/f; Ink f/f
BD,43779
Sac Date,43808
Age at Sac,29 days
RCAS injection?,Yes
Injection route,Intracranial
Injection Date,43779
Virus 1,HBEGF
Virus 2,CRE
Virus 3,
Virus 4,
Evidence of tumor?,Yes in MRI and domed head on 12/2/19
Date Tumor reported,"Domed head 12/2/19, MRI 12/5/19"
Dox Tx?,NO
Duration of Dox Tx,N/A
Genotype,NTVA; p10 f/f; Ink f/f
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
