Mouse Necropsy information sheet,...2
Initials,RH
Today's Date,43812
Mouse ID,21806
Disposition,died after injection with Mn2C
Sex,Female
Strain,NTVA; p10 f/f; Ink f/f
BD,43779
Sac Date,43812
Age at Sac,33 days
RCAS injection?,Yes
Injection route,Intracranial
Injection Date,43779
Virus 1,HBEGF
Virus 2,CRE
Virus 3,
Virus 4,
Evidence of tumor?,Yes in MRI
Date Tumor reported,MRI 12/9/19
Dox Tx?,NO
Duration of Dox Tx,N/A
Genotype,NTVA; p10 f/f; Ink f/f
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
