Mouse Necropsy information sheet,...2,...3
Initials,GP,
Today's Date,43993,
Mouse ID,22145-10,
Disposition,No detectable primary tumor,
Disposition,Experimental endpoint,
Treatment,,
Sex,Male,
Strain,DCT-TVA; Braf CA/CA; Tyr/+,
BD,43809,`
Sac Date,43993,
Age at Sac,184,
Injection Date,43812,
Virus 1,RCAS myr-FLAG-AKT3 + RCAS Cre (12/26/19 GP),
Virus 2,,
Virus 3,,
Virus 4,,
Evidence of tumor?,No,
Date Tumor reported,,
Dox Tx?,,
Duration of Dox Tx,,
Genotype,DCT-TVA; Braf CA/CA; Tyr/+,
Tissue collected,"B,L",
Zinc fixed?,No,
Formalin fixed?,"B,L",
Parafin Block #'s,,
,,
Slide #'s,,
H&E?,,
IHC?,,
IHC stain 1,,
IHC stain 2,,
IHC stain 3,,
Gross Visualization of Lung Nodules?,No,
Additional comments,Skull intact.,
,Lungs and all other organs appear normal.,
,No evidence of primary tumor.,
