Mouse Necropsy information sheet,...2,...3,...4
Initials,JP,,
Today's Date,44655,,
Mouse ID,29575-10,,
Disposition,,,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Female,`,
Strain,N-TVA::Ptenf/f;Inkf/f,,
BD,44614,,
Sac Date,44644,,
Age at Sac,30,,
Injection Date,44602,,
Virus 1,RCAS Cre + RCAS pro HBEGF (2/24/22 KC/JP),,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,N,,
Date Tumor reported,44649,,
Dox Tx?,,,
Drug treatment,,,
Genotype,N-TVA::Ptenf/f;Inkf/f,,
Tissue collected,Brain,,
Zinc fixed?,No,,
Formalin fixed?,Brain,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,,,
Additional comments,"thin skull, swollen, pale, and soft brain",,
