Mouse Necropsy information sheet,...2,...3,...4
Initials,RF,,
Today's Date,44585,,
Mouse ID,28833-10,,
Disposition,Sac'd due to end date,,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,F,`,
Strain,All Alleles,,
BD,44543,,
Sac Date,44585,,
Age at Sac,42,,
Injection Date,44544,,
Virus 1,RCAS myr-HA-AKT1 + RCAS Cre (12/14/21 GP),,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,No,,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,DCT-TVA::Ptenf/f;Inkf/f;Brafca/ca,,
Tissue collected,"Brain, Lungs",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, Lungs",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,No,,
Additional comments,"Nothing abnormal in necropsy, mouse was TVA-, so nothing was expected.",,
,"Good mobility, good general health.",,
