Mouse Necropsy information sheet,...2
Initials,KT
Today's Date,42829
Mouse ID,NSG00028
Disposition,Lethargic; hunched; ungroomed; bloated; on the verge of death
Sex,Female
Strain,NSG
BD,42759
Sac Date,42829
Age at Sac,70
RCAS injection?,Yes
Injection route,intracranial
Injection Date,42761
Virus 1,MTG4 (cell line)
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,No
Date Tumor reported,
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Lethargic; hunched; brain and skull appeared normal
