Mouse Necropsy information sheet,...2
Initials,AG
Today's Date,43980
Mouse ID,22855-00
Disposition,Can't open right eye.
Sex,Female
Strain,N-TVA;Pten f/+; Ink4a/Arff/+;ATRX-f/+;H11LSL-Cas9  f/+
BD,43884
Sac Date,43980
Age at Sac,96 days
RCAS injection?,Yes
Injection route,Intracranial
Injection Date,43885
Virus 1,RCAS-CRE
Virus 2,RCAS-IDH1R132H-HA
Virus 3,RCAS-PDGFA
Virus 4,
Evidence of tumor?,No
Date Tumor reported,
Dox Tx?,
Duration of Dox Tx,
Genotype,N-TVA;Pten f/+; Ink4a/Arff/+;ATRX-f/+;H11LSL-Cas9  f/+
Tissue collected,Brain
Zinc fixed ?,No
Formalin fixed?,Yes
Parafin Block #'s,HCI-20-22855
,
Slide #'s,1
H&E?,yes
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Brain apperes Normal.
