Mouse Necropsy information sheet,...2,...3,...4
Initials,KC,,
Today's Date,44733,,
Mouse ID,29561-01,,
Disposition,,,
Disposition,Sacked for tumor size,,
Treatment,,,
Sex,Male,,
Strain,DCT-TVA::Brafca/ca;Tyr/Tyr,,
BD,44614,`,
Sac Date,44733,,
Age at Sac,119,,
Injection Date,44614,,
Virus 1,RCAS myr-HA-AKT1 + RCAS Cre (2/22/22 GP),,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes,,
Date Tumor reported,,,
Dox Tx?,,,
Duration of Dox Tx,,,
Genotype,DCT-TVA::Brafca/ca;Tyr/Tyr,,
Tissue collected,"Tumor, Brain, Lungs, Liver",,
Zinc fixed?,No,,
Formalin fixed?,"Tumor, Brain, Lungs, Liver",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,,,
Additional comments,"All organs appeared normal, large tumor on R side of neck",,
,,,
,,,
