Mouse Necropsy information sheet,...2,...3,...4,...5,...6,...7,...8,...9,...10
Initials,KC,,,,,,,,
Today's Date,44741,,,,,,,,
Mouse ID,30537-00,,,,,,,,
Disposition,"head bulge, scruffy, eyes completely closed, not moving",,,,,,,,
Sex,Female,,,,,,,,
Strain,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,,,,,,,,
BD,44714,,,,,,,,
Sac Date,44741,,,,,,,,
Age at Sac,28 days,,,,,,,,
RCAS injection?,Yes,,,,,,,,
Injection route,Intracranial,,,,,,,,
Injection Date,44716,,,,,,,,
Virus 1,RCAS-CRE,,,,,,,,
Virus 2,RCAS-IDH1R132H-HA,,,,,,,,
Virus 3,RCAS-PDGFA,,,,,,,,
Virus 4,,,,,,,,,
Evidence of tumor?,No,,,,,,,,
Date Tumor reported,,,,,,,,,
Dox Tx?,,,,,,,,,
Duration of Dox Tx,,,,,,,,,
Genotype,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,,,,,,,,
Tissue collected,Brain,,,,,,,,
Zinc fixed ?,No,,,,,,,,
Formalin fixed?,Yes,,,,,,,,
Parafin Block #'s,HCI-22-30537,,,,,,,,
,,,,,,,,,
Slide #'s,1,,,,,,,,
H&E?,yes,,,,,,,,
IHC?,,,,,,,,,
IHC stain 1,,,,,,,,,
IHC stain 2,,,,,,,,,
IHC stain 3,,,,,,,,,
Additional comments,"Skull Normal, Frontal lobe portion of brain has dark discoloration.",,,,,,,,
