Mouse Necropsy information sheet,...2,...3,...4,...5,...6,...7,...8,...9,...10
Initials,MF,,,,,,,,
Today's Date,44833,,,,,,,,
Mouse ID,31703-01,,,,,,,,
Disposition,"sacked for heald buldge, severe body convulsions",,,,,,,,
Sex,Female,,,,,,,,
Strain,DCT-TVA::Ptenf/f;Inkf/f;Brafca/ca,,,,,,,,
BD,44808,,,,,,,,
Sac Date,44833,,,,,,,,
Age at Sac,25 days,,,,,,,,
RCAS injection?,Yes,,,,,,,,
Injection route,Intracranial,,,,,,,,
Injection Date,44809,,,,,,,,
Virus 1,DF1 RCAS CRE,,,,,,,,
Virus 2,RCAS NCAM,,,,,,,,
Virus 3,,,,,,,,,
Virus 4,,,,,,,,,
Evidence of tumor?,No,,,,,,,,
Date Tumor reported,,,,,,,,,
Dox Tx?,,,,,,,,,
Duration of Dox Tx,,,,,,,,,
Genotype,DCT-TVA::Ptenf/f;Inkf/f;Brafca/ca,,,,,,,,
Tissue collected,"Brain, Liver, Lungs",,,,,,,,
Zinc fixed ?,No,,,,,,,,
Formalin fixed?,Yes,,,,,,,,
Parafin Block #'s,,,,,,,,,
,,,,,,,,,
Slide #'s,,,,,,,,,
H&E?,,,,,,,,,
IHC?,,,,,,,,,
IHC stain 1,,,,,,,,,
IHC stain 2,,,,,,,,,
IHC stain 3,,,,,,,,,
Additional comments,"hydrocephaly, frail skull, fluid filled skull, mushy brain",,,,,,,,
