Mouse Necropsy information sheet,...2
Initials,DS
Today's Date,42807
Mouse ID,13320
Disposition,lethargic
Sex,F
Strain,N-TVA; pten f/f; Ink4a f/f
BD,42717
Sac Date,42807
Age at Sac,90d
RCAS injection?,Yes
Injection route,intercranial
Injection Date,42719
Virus 1,TRE3-BRAF
Virus 2,Tetoff
Virus 3,cre
Virus 4,
Evidence of tumor?,yes
Date Tumor reported,42803
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,N-TVA Tg/+; ink/arf f/f; pten f/f
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,"hydrocephaly, necrotic tissue"
