Mouse Necropsy information sheet,...2
Initials,DY
Today's Date,42881
Mouse ID,15201
Disposition,"Hunched, lethargic"
Sex,Female
Strain,N-TVA; Ink4a f/f; Pten f/f
BD,42853
Sac Date,42881
Age at Sac,28
RCAS injection?,Yes
Injection route,intracranial
Injection Date,42855
Virus 1,TRE3-BRAF
Virus 2,TetOff
Virus 3,Cre
Virus 4,
Evidence of tumor?,Yes
Date Tumor reported,42873
Dox Tx?,No
Duration of Dox Tx,
Genotype,N-TVA Tg/+; ink/arf f/f; pten f/f;
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Hydrocephaly
