Mouse Necropsy information sheet,...2,...3
Initials,JP,
Today's Date,44677,
Mouse ID,27982-00,
Disposition,,
Disposition,,
Disposition,,
Disposition,,
Treatment,,
Sex,F,`
Strain,DCT-TVA::Brafca/ca;Tyr/Tyr,
BD,44451,
Sac Date,44670,
Age at Sac,219,
Injection Date,44454,
Virus 1,RCAS myr-HA-AKT1 + RCAS Cre (9/15/21 DA/TT),
Virus 2,,
Virus 3,,
Virus 4,,
Evidence of tumor?,N,
Date Tumor reported,,
Dox Tx?,,
Drug treatment,,
Genotype,DCT-TVA::Brafca/ca;Tyr/Tyr,
Tissue collected,"Brain, lungs, liver",
Zinc fixed?,No,
Formalin fixed?,"Brain, lungs, liver",
Parafin Block #'s,,
,,
Slide #'s,,
H&E?,,
IHC?,,
IHC stain 1,,
IHC stain 2,,
IHC stain 3,,
Gross Visualization of Lung Nodules?,,
Additional comments,"normal-sized skull, healthy brain, liver, and lungs; no evidence of abnormal tissue",
