Mouse Necropsy information sheet,...2
Initials,KT
Today's Date,42822
Mouse ID,NSG00046
Disposition,Lethargic; hunched; ungroomed
Sex,Female
Strain,NSG
BD,42800
Sac Date,42822
Age at Sac,22
RCAS injection?,Yes
Injection route,intracranial
Injection Date,42802
Virus 1,7788 (Cell Line)
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,No
Date Tumor reported,
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Lethargic; hunched; skull was soft but brain was intact; lump present on the exterior of the skul
