Mouse Necropsy information sheet,...2,...3,...4
Initials,KT,,
Today's Date,42557,,
Mouse ID,10202,,
Disposition,T1 - all of left shoulder/upper thorax; normal/active disposition,,
Sex,Male,,
Strain,DCT-TVA; Braf het,,
BD,42482,,
Sac Date,42557,,
Age at Sac,75,,
RCAN injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42484,,
Virus 1,RCAN HA-Akt1 E17K,,
Virus 2,Tet-Off-IRES-Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes (1),,
Date Tumor reported,,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; Braf het; ink/arf f/f; pten f/f,,
Tissue collected,"Brain, heart, lungs, kidney, spleen, liver, tumor",,
,,,
Formalin fixed?,yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,"T1 - massive, covered all of left shoulder/upper thorax; normal/active disposition",,
,Skull intact,,
,All other organs appeared normal.,,
,3 cryogenics; 1 cell line attempted,,
