Mouse Necropsy information sheet,...2,...3,...4,...5,...6,...7,...8,...9,...10
Initials,CM,,,,,,,,
Today's Date,44923,,,,,,,,
Mouse ID,32151-03,,,,,,,,
Disposition,"Scruffy, tumor is larger than 2,000mm^3",,,,,,,,
Sex,Male,,,,,,,,
Strain,GFP,,,,,,,,
BD,44842,,,,,,,,
Sac Date,44923,,,,,,,,
Age at Sac,81,,,,,,,,
RCAS injection?,,,,,,,,,
Injection route,,,,,,,,,
Injection Date,,,,,,,,,
Virus 1,,,,,,,,,
Virus 2,,,,,,,,,
Virus 3,,,,,,,,,
Virus 4,,,,,,,,,
Evidence of tumor?,Yes,,,,,,,,
Date Tumor reported,44907,,,,,,,,
Dox Tx?,,,,,,,,,
Duration of Dox Tx,,,,,,,,,
Genotype,GFP,,,,,,,,
Tissue collected,"Brain, Lung, Heart, Liver, Tumor",,,,,,,,
Zinc fixed ?,No,,,,,,,,
Formalin fixed?,Yes,,,,,,,,
Parafin Block #'s,,,,,,,,,
,,,,,,,,,
Slide #'s,,,,,,,,,
H&E?,,,,,,,,,
IHC?,,,,,,,,,
IHC stain 1,,,,,,,,,
IHC stain 2,,,,,,,,,
IHC stain 3,,,,,,,,,
Additional comments,This mouse is among the Paxalisib treated group at 10mg/kg,,,,,,,,
