Mouse Necropsy information sheet,...2,...3,...4
Initials,KT,,
Today's Date,42641,,
Mouse ID,11589,,
Disposition,"Lethargic disposition; T1- R ear, ulcerated; T2-  L ear; T3- b/n scapulas",,
Sex,Male,,
Strain,All alleles,,
BD,42585,,
Sac Date,42641,,
Age at Sac,56,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42586,,
Virus 1,RCAS HA-Akt1 E17K,,
Virus 2,RCAS Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes (3),,
Date Tumor reported,,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; Braf; ink/arf f/f; pten f/f,,
Tissue collected,"Brain, lungs, heart, liver, kidneys, spleen, tumor",,
,,,
Formalin fixed?,yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,"Lethargic disposition; T1- R ear, ulcerated; T2-  L ear; T3- b/n scapulas",,
,Skull intact,,
,Organs appeared normal,,
,T1 & T2- 1 cryo and 1 cell line attempted,,
