Mouse Necropsy information sheet,...2,...3,...4,...5,...6,...7,...8,...9,...10
Initials,AG,,,,,,,,
Today's Date,44737,,,,,,,,
Mouse ID,30039-01,,,,,,,,
Disposition,"Head bulge, scruffy, not moving, Squinting",,,,,,,,
Sex,Female,,,,,,,,
Strain,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,,,,,,,,
BD,44666,,,,,,,,
Sac Date,44737,,,,,,,,
Age at Sac,72 days,,,,,,,,
RCAS injection?,Yes,,,,,,,,
Injection route,Intracranial,,,,,,,,
Injection Date,44668,,,,,,,,
Virus 1,RCAS-CRE,,,,,,,,
Virus 2,RCAS-IDH1R132H-HA,,,,,,,,
Virus 3,RCAS-PDGFA,,,,,,,,
Virus 4,,,,,,,,,
Evidence of tumor?,No,,,,,,,,
Date Tumor reported,,,,,,,,,
Dox Tx?,,,,,,,,,
Duration of Dox Tx,,,,,,,,,
Genotype,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,,,,,,,,
Tissue collected,Brain,,,,,,,,
Zinc fixed ?,No,,,,,,,,
Formalin fixed?,Yes,,,,,,,,
Parafin Block #'s,HCI-22-30039,,,,,,,,
,,,,,,,,,
Slide #'s,1,,,,,,,,
H&E?,yes,,,,,,,,
IHC?,,,,,,,,,
IHC stain 1,,,,,,,,,
IHC stain 2,,,,,,,,,
IHC stain 3,,,,,,,,,
Additional comments,Brain has haematoma.,,,,,,,,
