Mouse Necropsy information sheet,...2,...3,...4
Initials,AW,,
Today's Date,42936,,
Mouse ID,15745,,
Disposition,paralysis in hind legs,,
Sex,male,,
Strain,Nestin-TVA; Braf Ca/Ca; Pten f/f; Ink f/f (injected),,
BD,42901,,
Sac Date,42926,,
Age at Sac,25,,
RCAS injection?,Yes,,
Injection route,intercrainal,,
Injection Date,42898,,
Virus 1,Cre,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,yes,,
Date Tumor reported,42916,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,Nestin-TVA; Braf Ca/Ca; Pten f/f; Ink f/f (injected),,
Tissue collected,brain,,
,,,
Formalin fixed?,yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,hydrocephaly,,
,,,
