Mouse Necropsy information sheet,...2,...3,...4
Initials,ND,,
Today's Date,43220,,
Mouse ID,18237,,
Disposition,Sac'd due to slightly ungroomed appearance and tumor on the verge of ulcerating. T1 - behind R ear,,
Sex,Male,,
Strain,All Alleles,,
BD,43176,,
Sac Date,43217,,
Age at Sac,41,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,43178,,
Virus 1,RCAS Myr-HA-Akt1,,
Virus 2,RCAS Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes (1),,
Date Tumor reported,43213,,
Dox Tx?,No,,
Duration of Dox Tx,,,
Genotype,DCT-TVA; Braf ca; ink/arf f/f; pten f/f,,
Tissue collected,"Tumor, brain, lungs",,
Zinc fixed?,No,,
Formalin fixed?,"Tumor, brain, lungs",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,No,,
Additional comments,Sac'd due to slightly ungroomed appearance and tumor on the verge of ulcerating. T1 - behind R ear,,
,Skull intact,,
,Organs appeared normal,,
,T1 - no cryos and 1 cell line attempted,,
