Mouse Necropsy information sheet,...2,...3,...4
Initials,KT,,
Today's Date,43122,,
Mouse ID,17218,,
Disposition,Normal disposition; sac'd due to tumor size; T1- top of the head/neck,,
Sex,Male,,
Strain,All Alleles,,
BD,43048,,
Sac Date,43122,,
Age at Sac,74,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,43050,,
Virus 1,RCAN myr-HA-Akt1,,
Virus 2,RCAS Tet-Off-IRES-Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes (1),,
Date Tumor reported,43098,,
Dox Tx?,Yes,,
Duration of Dox Tx,24,,
Genotype,DCT-TVA; Braf ca; ink/arf f/f; pten f/f,,
Tissue collected,"Tumors, brain, lungs",,
Zinc fixed?,No,,
Formalin fixed?,"Tumor, brain, lungs",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,No,,
Additional comments,Normal disposition; sac'd due to tumor size; T1- top of the head/neck,,
,Brain and skull were in tact.,,
,Other organs appeared normal,,
,3 cryos and 1 cell line attempted,,
,tumor measurements did not begin until 1/12/18--technician did not notice when the mouse had been moved to a dox cage.,,
