Mouse Necropsy information sheet,...2,...3,...4
Initials,RF,,
Today's Date,44543,,
Mouse ID,27647-11,,
Disposition,,,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Male,`,
Strain,DCT-TVA::Cas9f/f;Ptenf/f;Inkf/f,,
BD,44410,,
Sac Date,44543,,
Age at Sac,133,,
Injection Date,"8/2/21, 8/3/21",,
Virus 1,RCAS Cre-U6-sgRNA-Ex2-NF1,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,,,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,DCT-TVA::Cas9f/f;Ptenf/f;Inkf/f,,
Tissue collected,"Brain, lung, tumor 1, tumor 2",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, lung, tumor 1, tumor 2",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,,,
Additional comments,"Brain, lungs, liver, tumors collected",,
