Mouse Necropsy information sheet,...2,...3,...4
Initials,GP,,
Today's Date,42538,,
Mouse ID,10230,,
Disposition,Paralyzed back legs - T1-midline of back extending to right arm; T2 - underneath right arm/scapula,,
Sex,Male,,
Strain,All Alleles,,
BD,42484,,
Sac Date,42538,,
Age at Sac,54,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42485,,
Virus 1,RCAS HA-Akt3 E40K,,
Virus 2,Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes (2),,
Date Tumor reported,42521,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; Braf ca; ink/arf f/f; pten f/f,,
Tissue collected,"Brain, heart, lungs, kidney, spleen, liver, tumor",,
,,,
Formalin fixed?,yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,Paralyzed back legs - T1-midline of back extending to right arm; T2 - underneath right arm/scapula,,
,Skull intact,,
,Lungs had very small black nodules.,,
,All other organs appeared normal.,,
,3 cryogenics attempted per tumor; 1 cell line attempted per tumor.,,
