Mouse Necropsy information sheet,...2
Initials,ND
Today's Date,42934
Mouse ID,NSG00126
Disposition,Ungroomed but still active; sac'd due to ulcerated tumor; T1- R side.
Sex,Male
Strain,NSG
BD,42893
Sac Date,42934
Age at Sac,41
RCAS injection?,Yes
Injection route,Subcutaneous
Injection Date,42896
Virus 1,7788 (Cell Line)
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,Yes (1)
Date Tumor reported,42921
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,"Tumor, brain, lungs"
Zinc fixed?,Brain and lungs
Formalin fixed?,Tumor
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Ungroomed but still active; sac'd due to ulcerated tumor; T1- R side.
,Tumor invaded abdominal cavity
,Skull and brain were intact
,Small heart and large full gall bladder
,"No cryogenic, 1 cell line attempted"
