Mouse Necropsy information sheet,...2,...3,...4
Initials,RF,,
Today's Date,44602,,
Mouse ID,28916-01,,
Disposition,"TVA-, sac'd because other mice in cage were all found dead, no tumors expected",,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,M,`,
Strain,All Alleles,,
BD,44552,,
Sac Date,44602,,
Age at Sac,50,,
Injection Date,44553,,
Virus 1,RCAS myr-HA-AKT1 + RCAS Cre (12/23/21 GP),,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,No primary tumor found. Many tumors/growths found in chest cavity,,
Date Tumor reported,44592,,
Dox Tx?,No,,
Drug treatment,,,
Genotype,DCT-TVA::Ptenf/f;Inkf/f;Brafca/ca,,
Tissue collected,"Brain, Lungs, Liver, T1",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, Lungs, Liver, T1",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,No,,
Additional comments,TVA-,,
,No primary tumor visible,,
,Multiple large growths found in chest cavity,,
