Mouse Necropsy information sheet,...2
Initials,KT
Today's Date,42956
Mouse ID,NSG00056
Disposition,End point
Sex,Female
Strain,NSG
BD,42806
Sac Date,42956
Age at Sac,150
RCAS injection?,Yes
Injection route,intracranial
Injection Date,42808
Virus 1,5610 (cell line)
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,Yes
Date Tumor reported,NA
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,Brain
Zinc fixed?,Yes
Formalin fixed?,No
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,End point
,Skull and brain were intact
,Nothing abnormal was observed
