Mouse Necropsy information sheet,...2
Initials,YN
Today's Date,42626
Mouse ID,11658-00
Disposition,"Slightly immobilized, shaking throughout body"
Sex,M
Strain,DCT-TVA; Braf; All alleles
BD,42590
Sac Date,42625
Age at Sac,35
RCAS injection?,Yes
Injection route,Ear buds
Injection Date,42590
Virus 1,Cre
Virus 2,myr AKT 2PL/1KR
Virus 3,
Virus 4,
Evidence of tumor?,
Date Tumor reported,
Dox Tx?,
Duration of Dox Tx,
Genotype,
Tissue collected,"Brain, Primary tumor, Lungs, Heart"
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,"Extremely large tumor sitting right on top of skull cap, no obvious evidence of lung mets with visual inspection"
