Mouse Necropsy information sheet,...2
Initials,DY
Today's Date,42932
Mouse ID,14713
Disposition,"Scruffy, lethargic"
Sex,Female
Strain,N-TVA; Ink4a f/f; Pten f/f
BD,42816
Sac Date,42932
Age at Sac,116
RCAS injection?,Yes
Injection route,intracranial
Injection Date,42819
Virus 1,TRE3-BRAF
Virus 2,TetOff
Virus 3,Cre
Virus 4,
Evidence of tumor?,"Yes, MRI showing tumor 4/18/2017"
Date Tumor reported,
Dox Tx?,Dox treatment last 48 hrs
Duration of Dox Tx,48 hrs
Genotype,N-TVA Tg/+; ink/arf f/f; pten f/f;
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,"Brain misshappend due to tumor, some hydrocephlus, hematoma"
