Mouse Necropsy information sheet,...2,...3,...4
Initials,MS,,
Today's Date,42877,,
Mouse ID,14923,,
Disposition,"Underweight, over-sized tumors on both right and left side. Hunched, lethargic.",,
Sex,Male,,
Strain,All alleles,,
BD,42835,,
Sac Date,42877,,
Age at Sac,42,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42835,,
Virus 1,RCAS HA mTG2,,
Virus 2,RCAS Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes,,
Date Tumor reported,42870,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; Braf CA; ink/arf f/f; pten f/f,,
Tissue collected,"Brain, lungs, heart, liver, kidneys, spleen, tumors",,
,,,
Formalin fixed?,Yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,"Skull was intact, lungs looked normal but heart was enlarged. Liver had ""spots"" on it and gallbladder was enlarged.",,
,"Two tumor chunks frozen, no cell line attempted",,
