Mouse Necropsy information sheet,...2
Initials,DY
Today's Date,42828
Mouse ID,14275
Disposition,"hunched, lethargic"
Sex,M
Strain,N-TVA; Ink4a f/f; Pten f/f
BD,42787
Sac Date,42825
Age at Sac,38
RCAS injection?,Yes
Injection route,intercranial
Injection Date,42788
Virus 1,TRE3-BRAF
Virus 2,TetOff
Virus 3,Cre
Virus 4,
Evidence of tumor?,yes (by MRI)
Date Tumor reported,3/21/2017 (verified by MRI)
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,N-TVA Tg/+; ink/arf f/f; pten f/f;
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,hydrocephaly
