Mouse Necropsy information sheet,...2,...3,...4
Initials,RB,,
Today's Date,43200,,
Mouse ID,18126,,
Disposition,Poor health,,
Sex,Male,,
Strain,Nestin-TVA; Ink4a f/f; Pten f/f,,
BD,43162,,
Sac Date,43200,,
Age at Sac,38,,
RCAS injection?,Yes,,
Injection route,Intercranial,,
Injection Date,43164,,
Virus 1,HBEGF,,
Virus 2,ICAM,,
Virus 3,IRES-Cre,,
Virus 4,,,
Evidence of tumor?,Yes,,
Date Tumor reported,43196,,
Treated?,NO,,
Duration of Dox,NA,,
Genotype,Nestin-TVA; Ink4a f/f; Pten f/f,,
Tissue collected,Brain,,
,,,
Formalin fixed?,Yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,Soft skull,,
,,,
