Mouse Necropsy information sheet,...2
Initials,BP
Today's Date,42341
Mouse ID,8240
Disposition,Sick
Sex,Male
Strain,Nestin-TVA; ATRX flox/flox;inkf/f
BD,42229
Sac Date,42323
Age at Sac,94
RCAS injection?,Yes
Injection route,IC
Injection Date,42229
Virus 1,CRE
Virus 2,MIDHR132H
Virus 3,PDGFRA
Virus 4,
Evidence of tumor?,No
Date Tumor reported,
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,Nestin-TVA; ATRX flox/flox;inkf/f
Tissue collected,Brain
,
Formalin fixed?,yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments :,"Animal was sick and lethargic. Upon necropsy, severe"
,malformation of the creberal hemispheres was noted.
