Mouse Necropsy information sheet,...2
Initials,ND
Today's Date,43165
Mouse ID,NSG 00198
Disposition,Sac'd due to enlarged base of tail either to infection or tumor.
Sex,Female
Strain,NSG
BD,43091
Sac Date,43165
Age at Sac,74
RCAS injection?,No
Injection route,Tail vein
Injection Date,43143
Virus 1,9678 (Tail vein)
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,
Date Tumor reported,
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,Brain
Zinc fixed?,No
Formalin fixed?,"Brain, lungs, tumor"
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Sac'd due to enlarged base of tail either to infection or tumor.
,Brain and skull in tact.
,Brain appeared slightly enlarged but normal.
,Lung nodules present and small nodules off of lungs in chest cavity. Placed those in with brain and lungs.
,Bumped brain with side of scissor blad when excising brain
