Mouse Necropsy information sheet,...2
Initials,AG
Today's Date,43966
Mouse ID,23450-03
Disposition,Found dead in cage
Sex,Male
Strain,N-TVA; Ink4a f/f; pten f/f
BD,43937
Sac Date,5/15/2020 (Mice found dead)
Age at Sac,28 days
RCAS injection?,Yes
Injection route,Intracranial
Injection Date,43939
Virus 1,RCAS-CRE
Virus 2,RCAS-pro-HBEGF
Virus 3,
Virus 4,
Evidence of tumor?,No
Date Tumor reported,
Dox Tx?,
Duration of Dox Tx,
Genotype,N::TVA;Cdkn2alox/lox;Ptenlox/lox
Tissue collected,None (Mice found dead)
Zinc fixed ?,
Formalin fixed?,
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
