Mouse Necropsy information sheet,...2
Initials,ND
Today's Date,43104
Mouse ID,NSG 00150
Disposition,"Normal disposition, sac'd due to tumor size. Tumor between ears near right scapula"
Sex,Female
Strain,NSG
BD,43010
Sac Date,43102
Age at Sac,92
RCAS injection?,Yes
Injection route,Subcutaneous
Injection Date,43012
Virus 1,MTG4 (cell line)
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,yes (1)
Date Tumor reported,43060
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,"Tumor, brain and lungs"
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
,"Normal disposition, sac'd due to tumor size. Tumor between ears near right scapula"
,Organs appeared normal otherwise
,3 cryos and 1 cell line attempted
,Lung nodules present
