Mouse Necropsy information sheet,...2,...3,...4
Initials,RH,,
Today's Date,44531,,
Mouse ID,27633-10,,
Disposition,,,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Female,`,
Strain,DCT-TVA::Cas9f/f;Ptenf/f;Inkf/f,,
BD,44406,,
Sac Date,44531,,
Age at Sac,125,,
Injection Date,"7/29/21, 7/31/21",,
Virus 1,RCAS Cre-U6-sgRNA-Ex2-NF1,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,,,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,DCT-TVA::Cas9f/f;Ptenf/f;Inkf/f,,
Tissue collected,"Brain, lung, tumor, liver",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, lung, tumor, liver",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,No,,
Additional comments,,,
