Mouse Necropsy information sheet,...2
Initials,BP
Today's Date,42606
Mouse ID,10794
Disposition,possible tumor
Sex,Female
Strain,Nestin-TVA;Atrx; inkf/f Pten f/f
BD,42531
Sac Date,42604
Age at Sac,73
RCAS injection?,Yes
Injection route,IC
Injection Date,42535
Virus 1,Cre
Virus 2,PDGFA
Virus 3,IDHR1WT
Virus 4,
Evidence of tumor?,Yes
Date Tumor reported,42601
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,Nestin-TVA;ATRX f/f Ink f/f Pten f/f
Tissue collected,Brain
,
Formalin fixed?,yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments :,"Enlarged brain, slightly discolored with cortical superficial blood vessels"
