Mouse Necropsy information sheet,...2,...3,...4
Initials,GP/CS,,
Today's Date,44333,,
Mouse ID,25283-00,,
Disposition,Sac'd due to fight wounds (bloody tail) and experimental endpoint.,,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Male,`,
Strain,DCT-TVA:BrafCa/Ca;Tyr/+,,
BD,44143,,
Sac Date,44333,,
Age at Sac,190,,
Injection Date,44145,,
Virus 1,RCAS Cre + RCAS HA-PIK3CA-H1047R (11/10/20 GP),,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,,,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,DCT-TVA:BrafCa/Ca;Tyr/+,,
Tissue collected,"Brain, lung",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, lung",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,Yes,,
Additional comments,Sac'd due to fight wounds (blood tail) and experimental endpoint (past 180 days).,,
,Brain mushy.,,
,Gross nodules on lungs.,,
,No tumor found.,,
