Mouse Necropsy information sheet,...2,...3,...4
Initials,KC,,
Today's Date,44417,,
Mouse ID,26265-00,,
Disposition,Sac'd for tumor size,,
Disposition,Difficulties walking,,
Disposition,Lethargic,,
Disposition,,,
Treatment,,,
Sex,Female,`,
Strain,DCT-TVA;Ptenf/f;Brafca/ca;Tyr-Cre/+,,
BD,44246,,
Sac Date,44417,,
Age at Sac,171,,
Injection Date,44246,,
Virus 1,RCAS Cre (GP 2/19/21),,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,,,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,DCT-TVA;Ptenf/f;Brafca/ca;Tyr-Cre/+,,
Tissue collected,"Tumor, Brain, Lungs",,
Zinc fixed?,No,,
Formalin fixed?,"Tumor, Brain, Lungs",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,Yes,,
Additional comments,Sac'd for tumor size and lethargy; gross visualization of lung nodules and possible lung tumor; mouse had difficulty walking; tumor on back of neck,,
