Mouse Necropsy information sheet,...2,...3,...4
Initials,KB,,
Today's Date,42785,,
Mouse ID,13920,,
Disposition,"hunched, unresponsive",,
Sex,M,,
Strain,N-TVA; ATRX f/+; Ink4a f/f; Pten f/f,,
BD,42761,,
Sac Date,42781,,
Age at Sac,20,,
RCAS injection?,Yes,,
Injection route,Intracranial,,
Injection Date,42763,,
Virus 1,RCAS Cre,,
Virus 2,RCAS HBEGF,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes,,
Date Tumor reported,42775,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,N-TVA; ATRX f/f; Ink4a f/f; Pten f/f,,
Tissue collected,brain,,
4% PFA transcardial perfusion,yes,,
Formalin fixed?,,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,,,
,,,
