Mouse Necropsy information sheet,...2
Initials,ND
Today's Date,42881
Mouse ID,NSG00077-01
Disposition,Limited walking ability but still active; sac'd due to tumor size; T1- R side
Sex,Male
Strain,NSG
BD,42850
Sac Date,42881
Age at Sac,31
RCAS injection?,Yes
Injection route,subcutaneous
Injection Date,42851
Virus 1,9678 (subcutaneous)
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,Yes
Date Tumor reported,42870
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,"Brain, heart, lungs, kidney, spleen, liver, tumor"
Zinc fixed?,"Brain, lungs"
Formalin fixed?,"Tumor, organs"
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Limited walking ability but still active; sac'd due to tumor size; T1- R side
,Tumor was fluid-filled; less than 1/2 of tumor was actual tissue.
,Tumor invaded abdominal cavity.
,All collected organs appeared normal. Lung had dark spots
,2 cryogenics and 1 cell line attempted per tumor.
