Mouse Necropsy information sheet,...2
Initials,ND
Today's Date,43203
Mouse ID,NSG 00217
Disposition,Sac'd due to difficulty breathing. T1 - located in liver
Sex,Female
Strain,NSG
BD,43129
Sac Date,43203
Age at Sac,74
RCAS injection?,No
Injection route,Tail vein
Injection Date,43168
Virus 1,5610 (Tail vein)
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,Yes (1)
Date Tumor reported,
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,Brain
Zinc fixed?,No
Formalin fixed?,"Brain, lungs, tumor"
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Sac'd due to difficulty breathing. T1 - located in liver
,Brain and skull in tact.
,Lung nodules present in chest cavity - parietal tumor
,Organs appeared normal
,Liver tumor was fixed in formalin
