Mouse Necropsy information sheet,...2,...3,...4
Initials,KT,,
Today's Date,42941,,
Mouse ID,15635,,
Disposition,"Normal disposition; sac'd for tumor size, T1- L ear, large",,
Sex,Male,,
Strain,All Alleles,,
BD,42890,,
Sac Date,42937,,
Age at Sac,47,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42891,,
Virus 1,RCAS HA-Akt1,,
Virus 2,Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes (1),,
Date Tumor reported,42928,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; Braf ca; ink/arf f/f; pten f/f,,
Tissue collected,"Brain, lungs, tumor",,
Zinc fixed?,"Brain, lungs",,
Formalin fixed?,tumors,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,Yes,,
Additional comments,"Normal disposition; sac'd for tumor size, T1- L ear, large",,
,Brain and skull were in tact.,,
,All other organs appeared normal except lungs,,
,3 cryogenics and 1 cell line attempted,,
