Mouse Necropsy information sheet,...2,...3,...4,...5,...6,...7,...8,...9,...10
Initials,KC,,,,,,,,
Today's Date,44950,,,,,,,,
Mouse ID,32839-00,,,,,,,,
Disposition,"Large tumor over left shoulder, small amount of blood coming out of nose",,,,,,,,
Sex,Female,,,,,,,,
Strain,DCT-TVA::Brafca/ca;Pik3caTg/Tg;TDT+/+;Tyr+/+,,,,,,,,
BD,44897,,,,,,,,
Sac Date,44950,,,,,,,,
Age at Sac,53,,,,,,,,
RCAS injection?,,,,,,,,,
Injection route,,,,,,,,,
Injection Date,,,,,,,,,
Virus 1,RCAS Cre GP (12/4/22),,,,,,,,
Virus 2,,,,,,,,,
Virus 3,,,,,,,,,
Virus 4,,,,,,,,,
Evidence of tumor?,Yes,,,,,,,,
Date Tumor reported,44943,,,,,,,,
Dox Tx?,,,,,,,,,
Duration of Dox Tx,,,,,,,,,
Genotype,GFP,,,,,,,,
Tissue collected,"Brain, Lung, Liver, Tumor",,,,,,,,
Zinc fixed ?,No,,,,,,,,
Formalin fixed?,Yes,,,,,,,,
Parafin Block #'s,,,,,,,,,
,,,,,,,,,
Slide #'s,,,,,,,,,
H&E?,,,,,,,,,
IHC?,,,,,,,,,
IHC stain 1,,,,,,,,,
IHC stain 2,,,,,,,,,
IHC stain 3,,,,,,,,,
Additional comments,"large blood filled pocket over left shoulder, no notable tumor tissue in this area, frail skull, large and mushy brain, liver and lungs appeared normal",,,,,,,,
