Mouse Necropsy information sheet,...2
Initials,SA
Today's Date,42877
Mouse ID,14909
Disposition,normal
Sex,Male
Strain,N-TVA; Ink4a f/f; Pten f/f
BD,42833
Sac Date,42877
Age at Sac,44
RCAS injection?,Yes
Injection route,intracranial
Injection Date,42836
Virus 1,TRE3-BRAF
Virus 2,TetOff
Virus 3,Cre
Virus 4,
Evidence of tumor?,Yes - MRI (possible)
Date Tumor reported,
Dox Tx?,No
Duration of Dox Tx,
Genotype,N-TVA Tg/+; ink/arf f/f; pten f/f;
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,This mouse was sac'd as a 0 hr dox time point.
