Mouse Necropsy information sheet,...2
Initials,BP
Today's Date,42565
Mouse ID,10926
Disposition,Tumor
Sex,Male
Strain,Nestin-TVA; ATRX flox/flox
BD,42537
Sac Date,42563
Age at Sac,26
RCAS injection?,Yes
Injection route,IC
Injection Date,42541
Virus 1,Cre
Virus 2,PDGFA
Virus 3,IDH1R132H
Virus 4,
Evidence of tumor?,Yes
Date Tumor reported,42562
Dox Tx?,NA
Duration of Dox Tx,NA
Genotype,Nestin-TVA; ATRX flox/flox
Tissue collected,Brain
,
Formalin fixed?,yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments :,Domed head.Tumor visbible on MRI. Brain enlarged.
