Mouse Necropsy information sheet,...2,...3,...4
Initials,DK,,
Today's Date,43453,,
Mouse ID,19224,,
Disposition,Mouse will w/poor balance,,
Disposition,Never put on drug -- Sac'd before dev of tumor,,
Treatment,None,,
Sex,Female,,
Strain,All Alleles,,
BD,43415,,
Sac Date,43453,,
Age at Sac,38,,
Injection Date,43416,,
Virus 1,RCAS Akt1E17K,,
Virus 2,RCAS Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,No,,
Date Tumor reported,,,
Dox Tx?,No,,
Duration of Dox Tx,,,
Genotype,All Alleles,,
Tissue collected,"Brain, lungs",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, lungs",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,Yes -- Massive internal met adjacent to lung or may have consumbed an entire lung lobe,,
Additional comments,Skull intact,,
,"FFPE for B, L, Lung met",,
