Mouse Necropsy information sheet,...2
Initials,KT
Today's Date,42968
Mouse ID,NSG00101
Disposition,Normal disposition; sac'd due to tumor size; T1- R flank
Sex,Female
Strain,NSG
BD,42880
Sac Date,42968
Age at Sac,88
RCAS injection?,Yes
Injection route,subcutaneous
Injection Date,42882
Virus 1,5610 (cell line)
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,Yes
Date Tumor reported,42933
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,"Tumor, Brain, Lungs"
Zinc fixed?,Brain & Lungs
Formalin fixed?,Tumor
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Normal disposition; sac'd due to tumor size; T1- R flank
,Skull and brain were intact
,Lungs had small nodules but chest cavity was invaded by the tumor
,3 cyros and 1 cell line attempted
