Mouse Necropsy information sheet,...2,...3,...4
Initials,MV,,
Today's Date,43812,,
Mouse ID,21613,,
Disposition,"T1 -- Left Ear, T2 --Right ear",,
Disposition,,,
,Sac'd due to tumor size and lethargy,,
Disposition,,,
Treatment,,,
Sex,Female,`,
Strain,All Alleles,,
BD,43758,,
Sac Date,43812,,
Age at Sac,54,,
Injection Date,43759,,
Virus 1,RCAS myrAkt1 & Cre (2:1 ratio),,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes (2),,
Date Tumor reported,,,
Dox Tx?,,,
Duration of Dox Tx,,,
Genotype,All Alleles,,
Tissue collected,"T1,T2, B, L",,
Zinc fixed?,No,,
Formalin fixed?,"T1,T2, B, L",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,No,,
Additional comments,"Skull intact, all organs looked normal",,
,,,
,,,
,,,
,1 cryogenic tube with tumor samples,,
