Mouse Necropsy information sheet,...2
Initials,BP
Today's Date,42306
Mouse ID,8730
Disposition,Domed head/Possible tumor
Sex,Male
Strain,Nestin-TVA; ATRX flox/flox
BD,42285
Sac Date,42306
Age at Sac,21
RCAS injection?,Yes
Injection route,IC
Injection Date,42285
Virus 1,Cre
Virus 2,MIDHR132H
Virus 3,PDGFA
Virus 4,
Evidence of tumor?,Yes
Date Tumor reported,42297
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,
Tissue collected,Brain
,Nestin-TVA; ATRX flox/flox
Formalin fixed?,yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments :,"Prominent domed head, lethargic. Enlarged brain, with deformities noted in both left and the right hemispheres"
