Mouse Necropsy information sheet,...2,...3,...4
Initials,SS,,
Today's Date,42780,,
Mouse ID,12082,,
Disposition,Found dead. Small possible tumor found between shoulder blades.,,
Sex,Male,,
Strain,Ink WT,,
BD,42625,,
Sac Date,42780,,
Age at Sac,155,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42625,,
Virus 1,RCAS Cre,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes,,
Date Tumor reported,Found in necropsy,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; Braf; Ink wt,,
Tissue collected,"heart, lungs, kidneys, liver, spleen, tumor(?)",,
,,,
Formalin fixed?,Yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,Displayed large lung nodule phenotype-- probable cause of death.,,
,Small possible tumor found during necropsy-- hard to tell difference from potentially being lipoma.,,
