Mouse Necropsy information sheet,...2,...3,...4
Initials,GP,,
Today's Date,42928,,
Mouse ID,15310,,
Disposition,"Slightly lethargic and ungroomed; sac'd for tumor size and poor health concerns; T1--between ears, midline; T2--directly posterior to T2 between scapulas, midline",,
Sex,Female,,
Strain,All Alleles,,
BD,42864,,
Sac Date,42926,,
Age at Sac,62,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42866,,
Virus 1,HA-Akt1,,
Virus 2,Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes (2),,
Date Tumor reported,42912,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; Braf ca; ink/arf f/f; pten f/f,,
Tissue collected,"Brain, lungs, tumor",,
Zinc fixed?,"Brain, lungs",,
Formalin fixed?,tumors,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,Yes,,
Additional comments,"Slightly lethargic and ungroomed; sac'd for tumor size and poor health concerns; T1--between ears, midline; T2--directly posterior to T2 between scapulas, midline",,
,Very large section of tumor tissue invading chest cavity and covering lungs (retained with lung tissue).,,
,Lungs appeared very small and undiscernable other than color.,,
,Brain and skull were in tact.,,
,All other organs appeared normal.,,
,T1-3 cryogenics and 1 cell line attempted; T2-2 cryogenics and 1 cell line attempted.,,
