Mouse Necropsy information sheet,...2,...3,...4
Initials,RF,,
Today's Date,44467,,
Mouse ID,26642-01,,
Disposition,Experimental Enddate,,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Female,`,
Strain,DCT-TVA::Ptenf/f;Brafca/ca,,
BD,44284,,
Sac Date,44467,,
Age at Sac,183,,
Injection Date,44285,,
Virus 1,RCAS Cre 3/30/21 CS,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,No,,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,DCT-TVA::Ptenf/f;Brafca/ca,,
Tissue collected,"B,L",,
Zinc fixed?,No,,
Formalin fixed?,"B,L",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,Yes,,
Additional comments,Sac'd due to experimental enddate,,
,Appeared otherwise healthy,,
